nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.882102251052856445e+00,2.893305540084838867e+00,2.881033897399902344e+00,2.872650623321533203e+00,2.872535705566406250e+00,2.866379976272583008e+00,2.867605686187744141e+00,2.862029075622558594e+00,2.857222080230712891e+00,2.855575561523437500e+00,2.857180356979370117e+00,2.854650020599365234e+00,2.853866338729858398e+00,2.857208251953125000e+00,2.858305692672729492e+00,2.857300043106079102e+00,2.860609531402587891e+00,2.861586809158325195e+00,2.860251665115356445e+00,2.865774393081665039e+00,2.867136955261230469e+00,2.868654727935791016e+00,2.867967844009399414e+00,2.872684478759765625e+00,2.874751329421997070e+00,2.872701644897460938e+00,2.873295307159423828e+00,2.876591205596923828e+00,2.903269290924072266e+00,2.918925285339355469e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.903320312500000000e+00,2.894624710083007812e+00,2.874007463455200195e+00,2.873926401138305664e+00,2.866150617599487305e+00,2.863007068634033203e+00,2.860246419906616211e+00,2.857306957244873047e+00,2.858339071273803711e+00,2.854680538177490234e+00,2.853219985961914062e+00,2.851455211639404297e+00,2.852990627288818359e+00,2.850323200225830078e+00,2.850730657577514648e+00,2.853920698165893555e+00,2.854735851287841797e+00,2.853499650955200195e+00,2.856794357299804688e+00,2.857816457748413086e+00,2.858423709869384766e+00,2.858610391616821289e+00,2.863051176071166992e+00,2.865139722824096680e+00,2.864401340484619141e+00,2.868788957595825195e+00,2.869921207427978516e+00,2.867226600646972656e+00,2.867872714996337891e+00,2.870534181594848633e+00,2.874513149261474609e+00,2.880406618118286133e+00,2.904350519180297852e+00,2.916518688201904297e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.888673067092895508e+00,2.884694814682006836e+00,2.867696285247802734e+00,2.869406700134277344e+00,2.865060091018676758e+00,2.859792709350585938e+00,2.859418630599975586e+00,2.854713916778564453e+00,2.854754447937011719e+00,2.853639841079711914e+00,2.851037025451660156e+00,2.849744796752929688e+00,2.848908424377441406e+00,2.850638151168823242e+00,2.850312709808349609e+00,2.848109245300292969e+00,2.851484060287475586e+00,2.852199792861938477e+00,2.852999687194824219e+00,2.853822946548461914e+00,2.855195283889770508e+00,2.856675624847412109e+00,2.855729579925537109e+00,2.857362747192382812e+00,2.861577272415161133e+00,2.860892057418823242e+00,2.865041017532348633e+00,2.865772008895874023e+00,2.863264560699462891e+00,2.864559173583984375e+00,2.867891550064086914e+00,2.871475219726562500e+00,2.876893997192382812e+00,2.877223014831542969e+00,2.889327287673950195e+00,2.912405014038085938e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.883107423782348633e+00,2.882711887359619141e+00,2.874122619628906250e+00,2.867891550064086914e+00,2.863309144973754883e+00,2.856625556945800781e+00,2.854057550430297852e+00,2.854665756225585938e+00,2.851046562194824219e+00,2.851811647415161133e+00,2.851101875305175781e+00,2.848551511764526367e+00,2.847592353820800781e+00,2.846911191940307617e+00,2.846416234970092773e+00,2.848194599151611328e+00,2.846439123153686523e+00,2.847936153411865234e+00,2.848980665206909180e+00,2.850687980651855469e+00,2.851803541183471680e+00,2.852690219879150391e+00,2.853716373443603516e+00,2.853423595428466797e+00,2.854809284210205078e+00,2.858471870422363281e+00,2.859879255294799805e+00,2.861574649810791016e+00,2.862170934677124023e+00,2.862009286880493164e+00,2.863921165466308594e+00,2.866183280944824219e+00,2.869417667388916016e+00,2.874207258224487305e+00,2.874994516372680664e+00,2.878720521926879883e+00,2.889627218246459961e+00,2.921185493469238281e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.879913330078125000e+00,2.878877639770507812e+00,2.875021696090698242e+00,2.867292404174804688e+00,2.861847162246704102e+00,2.858365535736083984e+00,2.853331089019775391e+00,2.851498603820800781e+00,2.852264642715454102e+00,2.848914623260498047e+00,2.849821567535400391e+00,2.849050521850585938e+00,2.846719026565551758e+00,2.845621824264526367e+00,2.845040559768676758e+00,2.844874858856201172e+00,2.846686124801635742e+00,2.845506906509399414e+00,2.847104310989379883e+00,2.847637891769409180e+00,2.849049806594848633e+00,2.850634574890136719e+00,2.851577281951904297e+00,2.850683927536010742e+00,2.852052211761474609e+00,2.853378534317016602e+00,2.856138467788696289e+00,2.857174873352050781e+00,2.858680009841918945e+00,2.860302686691284180e+00,2.862094163894653320e+00,2.863644361495971680e+00,2.865791797637939453e+00,2.869342803955078125e+00,2.873460769653320312e+00,2.873899221420288086e+00,2.875620126724243164e+00,2.886201858520507812e+00,2.919798612594604492e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.905725479125976562e+00,2.891372919082641602e+00,2.877297878265380859e+00,2.873415708541870117e+00,2.869467973709106445e+00,2.862525701522827148e+00,2.855264425277709961e+00,2.855397224426269531e+00,2.850852966308593750e+00,2.848897933959960938e+00,2.849939584732055664e+00,2.846415758132934570e+00,2.847681522369384766e+00,2.846894741058349609e+00,2.846325159072875977e+00,2.844167709350585938e+00,2.843998908996582031e+00,2.846023321151733398e+00,2.845915317535400391e+00,2.846628189086914062e+00,2.847330093383789062e+00,2.847903966903686523e+00,2.846764087677001953e+00,2.849747180938720703e+00,2.850711345672607422e+00,2.849878787994384766e+00,2.850671768188476562e+00,2.853600740432739258e+00,2.854825735092163086e+00,2.855897188186645508e+00,2.857019662857055664e+00,2.857911825180053711e+00,2.858684301376342773e+00,2.862757682800292969e+00,2.866739511489868164e+00,2.868168592453002930e+00,2.872275114059448242e+00,2.874893188476562500e+00,2.876377344131469727e+00,2.884750366210937500e+00,2.897190332412719727e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.893779993057250977e+00,2.877205610275268555e+00,2.879410505294799805e+00,2.872398138046264648e+00,2.864334106445312500e+00,2.856035947799682617e+00,2.855660200119018555e+00,2.852913856506347656e+00,2.848330259323120117e+00,2.848942518234252930e+00,2.847359180450439453e+00,2.844161272048950195e+00,2.845584630966186523e+00,2.845174074172973633e+00,2.845079183578491211e+00,2.844981670379638672e+00,2.843092679977416992e+00,2.845151185989379883e+00,2.845403909683227539e+00,2.845988512039184570e+00,2.846728801727294922e+00,2.847725152969360352e+00,2.845827102661132812e+00,2.849521875381469727e+00,2.846169948577880859e+00,2.849363803863525391e+00,2.851699829101562500e+00,2.852437973022460938e+00,2.853587388992309570e+00,2.852842807769775391e+00,2.855790853500366211e+00,2.857161998748779297e+00,2.856760740280151367e+00,2.858785629272460938e+00,2.868332624435424805e+00,2.871737241744995117e+00,2.875040769577026367e+00,2.877045392990112305e+00,2.878479480743408203e+00,2.885373115539550781e+00,2.897226333618164062e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.901805162429809570e+00,2.888316392898559570e+00,2.876919031143188477e+00,2.875669002532958984e+00,2.866188526153564453e+00,2.860527038574218750e+00,2.854253768920898438e+00,2.854216337203979492e+00,2.848628044128417969e+00,2.846222162246704102e+00,2.846786737442016602e+00,2.845236778259277344e+00,2.842359066009521484e+00,2.844071388244628906e+00,2.843672990798950195e+00,2.841749191284179688e+00,2.844114303588867188e+00,2.844406843185424805e+00,2.844859361648559570e+00,2.845168352127075195e+00,2.845669746398925781e+00,2.844300270080566406e+00,2.844290971755981445e+00,2.848344564437866211e+00,2.845444202423095703e+00,2.848706483840942383e+00,2.850690841674804688e+00,2.850933313369750977e+00,2.850386381149291992e+00,2.851301670074462891e+00,2.852321386337280273e+00,2.855420827865600586e+00,2.856490850448608398e+00,2.856748819351196289e+00,2.858764648437500000e+00,2.869633436203002930e+00,2.873153686523437500e+00,2.876380920410156250e+00,2.878762960433959961e+00,2.880282402038574219e+00,2.886819362640380859e+00,2.898589849472045898e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.892616987228393555e+00,2.884978771209716797e+00,2.878421306610107422e+00,2.868197679519653320e+00,2.862555503845214844e+00,2.855176210403442383e+00,2.855939149856567383e+00,2.852592706680297852e+00,2.847027063369750977e+00,2.846619129180908203e+00,2.845176458358764648e+00,2.843734979629516602e+00,2.842820167541503906e+00,2.842799186706542969e+00,2.840591669082641602e+00,2.842987775802612305e+00,2.841254949569702148e+00,2.843909025192260742e+00,2.844523429870605469e+00,2.845121860504150391e+00,2.843121767044067383e+00,2.844021558761596680e+00,2.847501754760742188e+00,2.845153331756591797e+00,2.845421075820922852e+00,2.850497245788574219e+00,2.850837230682373047e+00,2.849357604980468750e+00,2.850586175918579102e+00,2.851201534271240234e+00,2.853842973709106445e+00,2.855043411254882812e+00,2.855805873870849609e+00,2.857719421386718750e+00,2.863642930984497070e+00,2.870287895202636719e+00,2.874242782592773438e+00,2.877698898315429688e+00,2.880336761474609375e+00,2.883002996444702148e+00,2.888267040252685547e+00,2.897330999374389648e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.902025461196899414e+00,2.888669729232788086e+00,2.881402730941772461e+00,2.871457099914550781e+00,2.864566802978515625e+00,2.861039400100708008e+00,2.854764938354492188e+00,2.854592800140380859e+00,2.851144075393676758e+00,2.845650196075439453e+00,2.845319032669067383e+00,2.843436241149902344e+00,2.842791557312011719e+00,2.841666936874389648e+00,2.841492652893066406e+00,2.841992139816284180e+00,2.839948654174804688e+00,2.843125581741333008e+00,2.843717098236083984e+00,2.842351913452148438e+00,2.842527389526367188e+00,2.846045970916748047e+00,2.845514535903930664e+00,2.844351291656494141e+00,2.844951868057250977e+00,2.849977016448974609e+00,2.850750923156738281e+00,2.849350690841674805e+00,2.849748134613037109e+00,2.850749254226684570e+00,2.852698087692260742e+00,2.854014158248901367e+00,2.854951143264770508e+00,2.856594562530517578e+00,2.858445644378662109e+00,2.861375093460083008e+00,2.871846437454223633e+00,2.875434637069702148e+00,2.879010438919067383e+00,2.883109569549560547e+00,2.886705875396728516e+00,2.891747951507568359e+00,2.928891420364379883e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
